,Airline,avg_delay
0,50,5.514018691588785
1,5O,4.042666666666666
2,AF,4.896847826086956
3,AH,5.232868852459016
4,AHF,77.92065217391304
5,AT,5.669102040816327
6,AZ,4.076630434782609
7,BA,5.807295081967213
8,EK,5.946130952380953
9,LH,5.1615409836065576
10,MS,203.3106511627907
11,QR,5.160869565217391
12,RJ,4.803483606557377
13,SF,43.21819672131147
14,SV,106.67700729927007
15,TK,5.307254098360656
16,TO,58.76004672897196
17,TU,4.086630434782609
18,VY,5.335836734693878
19,WT,5.086897959183673
20,ZI,4.517857142857143
