,AC_Type,avg_delay
0,318,5.964838709677419
1,321,159.87
2,32S,6.088333333333334
3,330,5.347616822429907
4,332,6.377309090909091
5,333,235.4808524590164
6,340,5.718436363636363
7,343,5.369910714285714
8,733,4.469344262295082
9,737,123.65032467532468
10,738,3.772622950819672
11,73H,5.883236363636364
12,773,4.635409836065573
13,777,5.045428571428572
14,77H,5.210786885245901
15,77W,4.440054054054054
16,788,4.516274509803922
17,AT7,5.018586956521739
18,E75,4.996475409836066
19,EMJ,6.069508196721312
20,LOH,4.7004761904761905
21,N32,3.0999999999999996
